,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
0,44,Ti19N25,487.2834764308068,4.292536811308379,Trigonal,R-3m,166,-3m,0.1,2.0.2,-1.3091486230208318,0.3686094847727279,False,0.0,False,True,NM,1.1227397,,True,Ti N,2
1,6,Ti2N,75.78771813156467,4.808924824196139,Tetragonal,I4_1/amd,141,4/mmm,0.1,2.0.2,-1.4334219290277777,0.0208633333333327,False,0.0,False,True,NM,0.0,0.311,False,Ti N,2
2,6,Ti2N,74.00545978835848,4.924737176612915,Tetragonal,P4_2/mnm,136,4/mmm,0.1,2.0.2,-1.454285262361111,0.0,True,0.0,False,True,NM,0.0,0.73,False,Ti N,2
3,4,Ti3N,52.72115838228246,4.964112153023645,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,0.2448110598958308,1.335525006666666,False,0.0,False,True,FM,0.8113852,160.923,True,Ti N,2
4,4,Ti3N,50.52603564886124,5.1797798834999496,Cubic,Pm-3m,221,m-3m,0.1,2.0.2,0.2535943873958324,1.3443083341666675,False,0.0,False,True,NM,0.0663213,-4.972,True,Ti N,2
5,10,Ti3N2,111.86101639578948,5.095115792311816,Trigonal,R-3c,167,-3m,0.1,2.0.2,-1.6183914215000017,0.0312466489999998,False,0.0,False,True,NM,0.0,,True,Ti N,2
6,10,Ti3N2,116.01075158621794,4.912862156217144,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,-1.5135750895000002,0.1360629810000002,False,0.0,False,True,FM,1.5621497,,True,Ti N,2
7,28,Ti3N4,399.49245507742097,3.3191090992211034,Trigonal,P31c,159,3m,0.1,2.0.2,-1.5427413416071405,0.1224020435714301,False,1.7589,True,False,NM,0.0011798,,True,Ti N,2
8,28,Ti3N4,283.30587510932725,4.680309020086367,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-1.5605647801785685,0.1045786050000021,False,0.0977000000000005,True,False,NM,0.0001775,,True,Ti N,2
9,7,Ti3N4,72.79454305827758,4.553772120171544,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-1.5147752816071411,0.150368103571429,False,0.0,False,True,NM,0.000504,,True,Ti N,2
10,13,Ti8N5,150.76411955227127,4.989075338097825,Tetragonal,P-4m2,115,-42m,0.1,2.0.2,-1.5774741636217957,0.0270824896153865,False,0.0,False,True,NM,5.24e-05,,True,Ti N,2
11,44,TiN,480.6525037448127,4.702693308328239,Trigonal,R3m,160,3m,0.1,2.0.2,-1.8681855265719696,0.0744817561363646,False,0.0,False,True,FM,0.5771385,,True,Ti N,2
12,2,TiN,19.073073170918462,5.386845377479396,Cubic,Fm-3m,225,m-3m,0.1,2.0.2,-1.942667282708333,0.0,True,0.0,False,True,NM,4e-07,0.216,False,Ti N,2
13,2,TiN,18.385195311437567,5.588392959914372,Cubic,Pm-3m,221,m-3m,0.1,2.0.2,-1.0523964377083337,0.8902708449999999,False,0.0,False,True,NM,0.0852661,11.616,True,Ti N,2
14,2,TiN,24.372520928461743,4.21555473669145,Cubic,F-43m,216,-43m,0.1,2.0.2,-1.640792662708332,0.3018746200000013,False,0.0,False,True,NM,0.0007663,0.089,True,Ti N,2
15,6,TiN2,50.32618346420951,5.007427939726197,Tetragonal,I4/mcm,140,4/mmm,0.1,2.0.2,-1.0192267984722223,0.2758847233333341,False,0.0,False,True,NM,2e-06,,True,Ti N,2
16,40,Ca2O3,648.496100209335,2.62521308091353,Triclinic,P1,1,1,0.1,2.0.2,-2.369880835500001,0.2142064744999992,False,0.1968999999999999,False,False,FM,16.0010199,,True,Ca O,2
17,4,CaO,94.70419254893255,1.966517235342912,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-3.0201689000000016,0.2099402374999996,False,1.8293,False,False,NM,2e-06,,True,Ca O,2
18,8,CaO,186.11897103150005,2.0012729049011297,Orthorhombic,Cmce,64,mmm,0.1,2.0.2,-3.020339282500002,0.2097698549999993,False,2.0869,True,False,NM,0.000719,,False,Ca O,2
19,8,CaO,125.60681580389334,2.965403202282866,Cubic,Fd-3m,227,m-3m,0.1,2.0.2,-0.5019770862500019,2.72813205125,False,0.0,False,True,FM,2.0160521,,True,Ca O,2
20,100,CaO,1656.7853673010254,2.8102225940421364,Triclinic,P1,1,1,0.1,2.0.2,-2.919007296100001,0.3111018413999993,False,2.1337,False,False,NM,0.0,,True,Ca O,2
21,100,CaO,1670.947702542987,2.786404185829366,Triclinic,P1,1,1,0.1,2.0.2,-2.8886059379000018,0.3415031995999982,False,1.9733,False,False,NM,0.0023111,,True,Ca O,2
22,100,CaO,1653.6144763796674,2.815611340595657,Triclinic,P1,1,1,0.1,2.0.2,-2.934730821600001,0.2953783158999989,False,2.4878,False,False,NM,0.0,,True,Ca O,2
23,2,CaO,27.771067003632275,3.3530837486789946,Cubic,Fm-3m,225,m-3m,0.1,2.0.2,-3.2301091375000013,0.0,True,3.630100000000001,False,False,NM,0.0,0.001,False,Ca O,2
24,4,CaO,66.03495594368015,2.820285472220921,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,-3.1257847175,0.104324420000001,False,3.12,True,False,NM,0.0,3.079,True,Ca O,2
25,22,CaO10,312.47392165760584,2.126432633932468,Tetragonal,P4/mcc,124,4/mmm,0.1,2.0.2,-0.5106964795454562,0.0765960909090903,False,0.0,False,True,NM,0.0063772,,False,Ca O,2
26,22,CaO10,264.4153171063857,2.512920777574513,Tetragonal,P4/mcc,124,4/mmm,0.1,2.0.2,-0.5380144540909103,0.0492781163636362,False,0.0,False,True,FM,0.0003122,,False,Ca O,2
27,3,CaO2,41.95732831274832,2.852573007112785,Trigonal,P-3m1,164,-3m,0.1,2.0.2,-1.6590422250000014,0.4943638666666663,False,0.0,False,True,FM,1.9999944,,False,Ca O,2
28,12,CaO2,170.15566624336367,2.8135728850624235,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-1.8700522600000011,0.2833538316666661,False,0.0,False,True,FM,7.9983177,,True,Ca O,2
29,3,CaO2,42.1308803116586,2.840822249859205,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-1.872135661666668,0.2812704299999993,False,0.0,False,True,FM,2.0017403,,True,Ca O,2
30,3,CaO2,36.12744563392266,3.3128924587774558,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-2.101526656666666,0.0518794350000018,False,2.7345,False,False,NM,0.0,-3.398,False,Ca O,2
31,18,Ca(CO)4,251.16032263358636,2.011452631530477,Tetragonal,I4_1/amd,141,4/mmm,0.1,2.0.2,-1.458589901111111,0.3277514518055486,False,3.8244,False,False,NM,0.0140988,,False,Ca O C,3
32,28,Ca(CO2)2,429.0961304707105,1.9828663808356528,Monoclinic,P2/m,10,2/m,0.1,2.0.2,-1.4805036928571422,0.8162209037499952,False,0.2017,False,False,FM,1.9983198,,True,Ca O C,3
33,56,Ca(CO2)2,899.9428060718344,1.8908763657345704,Orthorhombic,Pbca,61,mmm,0.1,2.0.2,-1.6820131894642845,0.6147114071428534,False,0.0829000000000002,True,False,NM,0.0025061,,False,Ca O C,3
34,28,Ca(CO2)2,451.3602805934351,1.8850579633156488,Monoclinic,P2/m,10,2/m,0.1,2.0.2,-2.251225665714285,0.0454989308928528,False,3.1204,False,False,NM,0.0008478,,False,Ca O C,3
35,64,CaC2O5,1026.015573183287,1.865684754191744,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-1.554588260000001,0.7862883728124928,False,1.0092,True,False,NM,0.0003271,,True,Ca O C,3
36,16,CaC2O5,221.59341813098823,2.1596101867518325,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-1.7369268403125009,0.6039497924999928,False,0.608,False,False,FM,3.9994018,,True,Ca O C,3
37,64,CaC2O5,886.6913030774697,2.158836571203087,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-1.7372835910937503,0.6035930417187432,False,0.0,False,True,FM,16.0175534,,False,Ca O C,3
38,10,CaCO3,120.1538154729379,2.766424134776147,Triclinic,P-1,2,-1,0.1,2.0.2,-2.6787395740000006,0.006686683999999,False,4.8573,False,False,NM,0.0,,False,Ca O C,3
39,20,CaCO3,233.29606311051344,2.8495672886885988,Triclinic,P-1,2,-1,0.1,2.0.2,-2.682695425499999,0.002730832500001,False,5.0381,False,False,NM,0.0,,False,Ca O C,3
40,30,CaCO3,376.2607498876414,2.6502611429098164,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-2.678127366333334,0.0072988916666663,False,4.9216,False,False,NM,0.0,,False,Ca O C,3
41,50,CaCO3,590.851968969494,2.8128569630520843,Triclinic,P-1,2,-1,0.1,2.0.2,-2.6610280502,0.0243982078000009,False,4.9254,False,False,NM,8.83e-05,,False,Ca O C,3
42,90,CaCO3,1170.318280569606,2.5562001250052657,Triclinic,P-1,2,-1,0.1,2.0.2,-2.677270136,0.0081561220000008,False,4.9564,False,False,NM,0.002276,,False,Ca O C,3
43,15,CaCO3,185.5030024074616,2.687798127490616,Trigonal,P321,150,32,0.1,2.0.2,-2.6769397546666664,0.0084865033333336,False,4.9875,False,False,NM,0.0,1.479,True,Ca O C,3
44,10,CaCO3,110.769826894637,3.000784819551508,Orthorhombic,Pmmn,59,mmm,0.1,2.0.2,-2.5165607839999997,0.1688654740000004,False,4.275500000000001,False,False,NM,0.0003809,-5.992,True,Ca O C,3
45,10,CaCO3,122.9495072208524,2.7035197010809995,Trigonal,R-3c,167,-3m,0.1,2.0.2,-2.685426258,0.0,True,4.999499999999999,False,False,NM,0.0,1.246,False,Ca O C,3
46,20,CaCO3,234.24383173134112,2.8380377195247304,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-2.6610722085,0.0243540495000003,False,4.1871,False,False,NM,0.0045691,0.548,False,Ca O C,3
47,10,CaCO3,104.7489959704011,3.1732658812663006,Orthorhombic,C222_1,20,222,0.1,2.0.2,-2.3755736459999994,0.3098526120000002,False,5.7242,False,False,NM,0.0001961,163.46,True,Ca O C,3
48,20,CaCO3,248.7939356471248,2.672062035155288,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-2.6727363280000005,0.0126899299999987,False,4.718299999999999,True,False,NM,0.0,1.478,False,Ca O C,3
49,20,CaCO3,244.95879367681044,2.713896570280523,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-2.684558564999999,0.0008676930000008,False,4.6975,False,False,NM,0.0,,False,Ca O C,3
50,90,CaCO3,1174.5909952235652,2.546901642574381,Hexagonal,P6_522,179,622,0.1,2.0.2,-2.677357943,0.0080683150000009,False,4.9436,False,False,NM,0.0407455,,True,Ca O C,3
51,15,CaCO3,191.62792800071696,2.601889128148362,Monoclinic,C2,5,2,0.1,2.0.2,-2.6782288386666666,0.0071974193333339,False,4.9726,False,False,NM,0.0002791,,False,Ca O C,3
52,20,CaCO3,306.45783959936216,2.169279894711278,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-1.3076534354999994,1.3777728225000008,False,0.0063999999999999,True,False,NM,0.0015485,,True,Ca O C,3
53,10,CaCO3,118.88023144734048,2.796061304414723,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-0.8127194779999997,1.87270678,False,1.2546000000000004,False,False,NM,3.3e-06,,True,Ca O C,3
54,54,CaCO4,866.9162095160843,2.001222848505568,Trigonal,P3_1,144,3,0.1,2.0.2,-1.92664418976852,0.3112110252314783,False,0.4463,False,False,FM,18.0026043,,True,Ca O C,3
55,6,Ti,208.54801594917905,2.2868121704973263,Trigonal,P-3m1,164,-3m,0.1,2.0.2,0.3103078066666664,0.3103078066666658,False,0.0,False,True,FM,1.609971,,True,Ti,1
56,100,Ti,1762.7067218166078,4.509259680988034,Triclinic,P1,1,1,0.1,2.0.2,0.1832868631666656,0.1832868631666659,False,0.0,False,True,NM,1.9910987,,True,Ti,1
57,100,Ti,1744.3182239748066,4.556796025430404,Triclinic,P1,1,1,0.1,2.0.2,0.1413839838666672,0.1413839838666675,False,0.0,False,True,NM,0.0038698,,True,Ti,1
58,100,Ti,1751.2770859316715,4.538689173715564,Triclinic,P1,1,1,0.1,2.0.2,0.1383318852666661,0.1383318852666661,False,0.0001999999999995,False,False,NM,0.0006442,,True,Ti,1
59,100,Ti,1758.642328592391,4.519681018059063,Triclinic,P1,1,1,0.1,2.0.2,0.1696142886666666,0.1696142886666667,False,0.0,False,True,NM,0.0044246,,True,Ti,1
60,100,Ti,1754.0009091121908,4.53164095229429,Triclinic,P1,1,1,0.1,2.0.2,0.155102003566667,0.1551020035666663,False,0.0,False,True,NM,0.0153928,,True,Ti,1
61,2,Ti,34.63870098804746,4.589376693333247,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,0.0151696033333319,0.0151696033333319,False,0.0,False,True,NM,3e-07,0.096,False,Ti,1
62,1,Ti,17.345854575003717,4.582364227559261,Cubic,Fm-3m,225,m-3m,0.1,2.0.2,0.0872652333333317,0.0872652333333317,False,0.0,False,True,NM,0.0013812,1.719,True,Ti,1
63,3,Ti,51.05915967771039,4.670172247408194,Hexagonal,P6/mmm,191,6/mmm,0.1,2.0.2,0.0,0.0,True,0.0,False,True,NM,7.36e-05,0.22,False,Ti,1
64,1,Ti,17.189995059394814,4.623911945658262,Cubic,Im-3m,229,m-3m,0.1,2.0.2,0.1514283733333314,0.1514283733333314,False,0.0,False,True,NM,9e-07,-6.068,False,Ti,1
65,42,Ti10O11,424.9611675424274,5.116204652109295,Triclinic,P-1,2,-1,0.1,2.0.2,-2.74015989579365,0.1460034838095225,False,0.0,False,True,NM,0.0004312,,True,Ti O,2
66,23,Ti10O13,230.577800619834,4.945096213045504,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-2.991919688768116,0.0445802017391301,False,0.0,False,True,NM,4.6e-06,,True,Ti O,2
67,25,Ti11O14,255.60662115368197,4.875781602508978,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-2.969572559733333,0.0479849304000001,False,0.0,False,True,NM,0.0076386,,True,Ti O,2
68,25,Ti11O14,254.72159638279203,4.892722402020869,Triclinic,P1,1,1,0.1,2.0.2,-3.098233683466666,0.0470126087999993,False,0.0,False,True,,,,True,Ti O,2
69,29,Ti11O18,306.69832203852724,4.410042307630682,Triclinic,P1,1,1,0.1,2.0.2,-3.1957865045977005,0.0226186701293098,False,0.0,False,True,NM,6e-07,,True,Ti O,2
70,70,Ti13O22,810.8539189415467,3.990344253257272,Orthorhombic,Cmce,64,mmm,0.1,2.0.2,-3.21133351704762,0.0282612253214296,False,0.0,False,True,NM,3.93e-05,,True,Ti O,2
71,49,Ti19O30,515.0391610824431,4.479745392435078,Triclinic,P1,1,1,0.1,2.0.2,-3.181423245034016,0.0142788215050995,False,0.0,False,True,NM,0.0103025,,True,Ti O,2
72,3,Ti2O,36.44456112809412,5.090956510408311,Trigonal,P-3m1,164,-3m,0.1,2.0.2,-1.9825083427777797,0.0,True,0.0,False,True,NM,2.8e-06,0.448,False,Ti O,2
73,9,Ti2O,111.97949255056866,4.970669312336571,Monoclinic,P2/m,10,2/m,0.1,2.0.2,-1.918099822777778,0.0644085200000006,False,0.0,False,True,NM,0.0,,True,Ti O,2
74,102,Ti2O,1393.5604093181255,4.52673664745124,Triclinic,P1,1,1,0.1,2.0.2,-1.6460197780718964,0.336488564705883,False,0.0,False,True,FM,0.9224675,,True,Ti O,2
75,102,Ti2O,1373.457681157846,4.5929926067904265,Triclinic,P1,1,1,0.1,2.0.2,-1.6592761544444443,0.3232321883333355,False,0.0042999999999997,False,False,NM,0.0,,True,Ti O,2
76,102,Ti2O,1387.4105857651714,4.546801819173397,Triclinic,P1,1,1,0.1,2.0.2,-1.6625819867973854,0.3199263559803942,False,0.0,False,True,NM,0.0277692,,True,Ti O,2
77,102,Ti2O,1404.211218670458,4.492401777896594,Triclinic,P1,1,1,0.1,2.0.2,-1.639966204640524,0.3425421381372562,False,0.0,False,True,FM,0.0078529,,True,Ti O,2
78,102,Ti2O,1393.825065614188,4.525877121113308,Triclinic,P1,1,1,0.1,2.0.2,-1.6589911765032683,0.3235171662745113,False,0.0,False,True,FM,0.2780727,,True,Ti O,2
79,20,Ti2O3,229.72425230395385,4.15581604179206,Orthorhombic,Cmcm,63,mmm,0.1,2.0.2,-3.0329936506666657,0.1297889090000001,False,0.0,False,True,NM,0.0035041,,True,Ti O,2
80,10,Ti2O3,110.04731762125846,4.337641995960086,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.0455213016666662,0.1172612579999992,False,0.1775000000000002,False,False,NM,0.0,,True,Ti O,2
81,10,Ti2O3,135.60687323215848,3.520071328829436,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-2.784495461666665,0.3782870980000012,False,0.4165000000000001,True,False,NM,3.23e-05,,True,Ti O,2
82,20,Ti2O3,180.974229898941,5.275291036997773,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-3.161253340666667,0.0015292189999982,False,0.1162999999999989,False,False,NM,0.0,,False,Ti O,2
83,10,Ti2O3,103.7211155286214,4.602205288902889,Trigonal,R-3c,167,-3m,0.1,2.0.2,-3.1627825596666668,0.0,True,0.0,False,True,NM,0.0,0.474,False,Ti O,2
84,30,Ti2O3,299.87604097284424,4.775431857524981,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.115187742333334,0.0475948173333318,False,0.0,False,True,FiM,1.7660332,0.711,True,Ti O,2
85,20,Ti2O3,217.75988736026855,4.384148726776235,Trigonal,P-31c,163,-3m,0.1,2.0.2,-3.0781673071666678,0.084615252499999,False,0.0,False,True,FM,4.0124908,,True,Ti O,2
86,18,Ti2O7,345.81646513064675,1.9949509811031567,Triclinic,P-1,2,-1,0.1,2.0.2,-1.7204354177314811,0.4942442193055552,False,1.154,False,False,NM,0.0008895,,True,Ti O,2
87,100,Ti3O,1455.1592008493833,4.553156436256109,Triclinic,P1,1,1,0.1,2.0.2,-1.1745244067750036,0.3507954688499985,False,0.0,False,True,FM,0.9823368,,True,Ti O,2
88,100,Ti3O,1427.9158945806566,4.640026423314259,Triclinic,P1,1,1,0.1,2.0.2,-1.242725462775004,0.2825944128499991,False,0.0,False,True,NM,1.1054318,,True,Ti O,2
89,100,Ti3O,1435.2005370371362,4.616475057069482,Triclinic,P1,1,1,0.1,2.0.2,-1.234292679575003,0.291027196049999,False,0.0,False,True,NM,0.003769,,True,Ti O,2
90,16,Ti3O,216.74345133600264,4.890993432307026,Trigonal,P-31c,163,-3m,0.1,2.0.2,-1.5253198756250017,0.0,True,0.0,False,True,NM,0.0002262,,False,Ti O,2
91,8,Ti3O,111.79378227963296,4.741277982385064,Hexagonal,P6_3/mcm,193,6/mmm,0.1,2.0.2,-1.417317378125002,0.1080024974999993,False,0.0,False,True,NM,0.0102363,,True,Ti O,2
92,24,Ti3O,325.1149715865706,4.890996522584021,Trigonal,P312,149,32,0.1,2.0.2,-1.5210182666666654,0.0043016089583343,False,0.0,False,True,NM,1.16e-05,,False,Ti O,2
93,10,Ti3O2,111.68602130432724,5.221608301232395,Trigonal,R-3c,167,-3m,0.1,2.0.2,-2.256697136,0.0526958240000006,False,0.0,False,True,NM,0.0,,True,Ti O,2
94,7,Ti3O4,69.80936068096659,4.938099734889216,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-3.016857997142858,0.0421923700000004,False,0.0,False,True,NM,1e-07,,True,Ti O,2
95,7,Ti3O4,71.67694302261742,4.809434818707178,Orthorhombic,Cmmm,65,mmm,0.1,2.0.2,-2.9757760214285724,0.083274345714285,False,0.0,False,True,NM,0.0010649,1.241,True,Ti O,2
96,16,Ti3O5,173.76464249467233,4.273518581031359,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-3.2216300725000018,0.0083631470312504,False,0.0,False,True,NM,0.0001098,0.565,False,Ti O,2
97,104,Ti3O5,1335.6519191160896,3.6138246167994463,Triclinic,P1,1,1,0.1,2.0.2,-3.0195045040504827,0.2104887154807677,False,0.0144000000000001,False,False,FM,4.0870544,,True,Ti O,2
98,104,Ti3O5,1295.4524991601422,3.725965859733513,Triclinic,P1,1,1,0.1,2.0.2,-3.037203704435097,0.1927895150961536,False,0.0,False,True,FM,6.8219026,,True,Ti O,2
99,104,Ti3O5,1276.2185829203745,3.782119967045097,Triclinic,P1,1,1,0.1,2.0.2,-3.0363440616466337,0.1936491578846162,False,0.0182999999999999,False,False,FiM,0.0003886,,True,Ti O,2
100,104,Ti3O5,1229.729086548715,3.925101746047003,Triclinic,P1,1,1,0.1,2.0.2,-3.03495135501202,0.1950418645192311,False,0.0663999999999997,False,False,FM,3.9957391,,True,Ti O,2
101,104,Ti3O5,1284.1764316738104,3.75868273683066,Triclinic,P1,1,1,0.1,2.0.2,-3.0307560616466365,0.1992371578846139,False,0.0350999999999999,True,False,FM,6.0016178,,True,Ti O,2
102,16,Ti3O5,184.3877327461874,4.027309286618516,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-3.2156328075000022,0.0143604120312499,False,0.0,False,True,FM,2.0117236,,False,Ti O,2
103,16,Ti3O5,171.26315837644566,4.335937953421416,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-3.222301800000002,0.00769141953125,False,0.0,False,True,AFM,0.0012122,,False,Ti O,2
104,16,Ti3O5,185.54518943603148,4.002186371332831,Orthorhombic,Cmcm,63,mmm,0.1,2.0.2,-3.223820818750001,0.0061724007812511,False,0.0,False,True,FM,3.9989908,,False,Ti O,2
105,20,Ti3O7,284.1554124233023,2.9872981695360545,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-2.7242188938750003,0.2655986161249988,False,0.0,False,True,FM,3.9997053,,False,Ti O,2
